energy,smiles
-8.0,CC1=NNN(Cc2ccc(-n3cccn3)cc2)[C@@H]1[C@H](O)CCc1ccccc1
-7.7,CCCC1(CCC)NC(=O)N(CC2=NNN(c3ccc(F)cc3F)[C@H]2C)C1=O
-7.7,CCOc1ccc(CN2NN=C(C(C)(C)O)[C@@H]2[C@H](O)c2ccc(F)cc2)cc1
-5.5,CCC[C@H](O)[C@H]1C(CN(CC)CC)=NNN1c1cccc2ncccc12
-8.1,C[C@H]1C(CN(CC(=O)N(C)C)c2ccccc2)=NNN1c1cccc2ncccc12
-6.5,O=Cc1ccc([C@H]2C(CO)=NNN2c2ccc(F)cc2F)cc1
-6.1,C[C@H](O)[C@H]1C(COCCO)=NNN1c1cccc2cccnc12
-6.5,CS(=O)(=O)c1cccc2c(N3NN=C(C4CCCCC4)[C@@H]3C(=O)O)ccnc12
-7.8,CC1=NNN(CC2=C[C@H]3NCN=C3C=C2)[C@H]1[C@H](c1ccccc1)N1CCOCC1
-6.9,CCN1C2=CC=CCC2=CC=C1N1NN=C(C(C)(C)O)[C@H]1c1cc(C(F)(F)F)cnc1N
-6.8,Cc1cccc(C(=O)[C@@H]2C(c3ccccc3)=NNN2c2nncn2NCc2ccc(F)cc2)c1O
-7.1,CN(C)C[C@H]1C(CNC(=O)CC2CCCC2)=NNN1c1nncn1NCc1ccc(F)cc1
-7.2,CC[C@H](O)C1=NNN(Cc2ccc(C)c(C)c2)[C@H]1[C@](C)(O)CCC=C(C)C
-6.1,CCC1=NNN(c2ccc(C(=O)NN)cc2)[C@@H]1C(C)=O
-8.2,CC(C)(O)C1=NNN(C[C@H]2COc3ccccc3O2)[C@H]1c1ccc(F)cc1
-7.0,O=[N+]([O-])c1cc2c(cc1N1NN=C(C3CC3)[C@@H]1c1ccccc1O)OCCO2
-6.6,Nc1ccc([C@H]2C(CO)=NNN2c2cccc3cccnc23)cn1
-9.5,Nc1cccc([C@H]2C(c3ccccc3)=NNN2CC2=C[C@@H]3NCN=C3C=C2)c1
-6.2,CC(=O)c1ccccc1[C@H]1C(C)=NNN1c1cc2c(cc1[N+](=O)[O-])OCCO2
-8.0,CC[C@H](OC(C)=O)[C@H]1C(CN2CCN(C)CC2)=NNN1C[C@H]1COc2ccccc2O1
-5.2,C=CC[C@H]([C@H]1C(c2ccccc2)=NNN1c1cc(NC(N)=S)ccc1C)N(C)C
-7.1,COc1ccc([C@H]2C(c3ccccc3)=NNN2c2ccc(F)cc2F)c(CO)c1
-8.4,CCC(=O)N[C@@H](C)CC1=CCN(CC2=NNN(c3ccc(F)c([N+](=O)[O-])c3)[C@@H]2C)CC1
-6.6,CN(C)C[C@H]1C(CN2C(=O)c3ccccc3C2=O)=NNN1c1cc2c(cc1[N+](=O)[O-])OCCO2
-6.6,O=[N+]([O-])c1cc(N2NN=C(CO)[C@@H]2c2ccc(C(F)(F)F)cc2)ccc1F
-7.1,O=C(CC(F)(F)F)NCC1=NNN(Cc2ccccc2)[C@@H]1c1ccccc1
-5.7,CC(=O)OC(C)(C)[C@H]1C(CN2CCOCC2)=NNN1c1nncn1NCc1ccc(F)cc1
-6.7,CCC1=NNN(c2nncn2NCc2ccc(OC)cc2)[C@@H]1c1ccccc1
-7.1,CC(=O)OC(C)(C)C1=NNN(CCCN2NN=C3C=CC=C[C@@H]32)[C@@H]1C(C)(C)OC(C)=O
-8.0,COC(=O)c1[nH]ncc1[C@H]1C(C)=NNN1CCCN1NN=C2C=CC=C[C@@H]21
-6.9,C#CCOCOCC1=NNN(c2cccc(CO)c2)[C@H]1CN1CCCCC1
-8.5,CCOc1ccc(CN2NN=C(c3cnc(C)[nH]3)[C@H]2c2ccnc(C#N)c2)cc1
-5.7,CC(C)[C@@H](O)[C@H]1C(C2CC2)=NNN1c1cccc2cccnc12
-6.1,CCN(CC)C[C@H]1C(CNC(C)=O)=NNN1C1=NS(=O)(=O)c2ccccc21
-6.0,CC1=NNN(c2cccc3ncccc23)[C@H]1C1=C(C)CC[C@H]1C
-6.3,CCOc1ccc([C@H]2C(C(C)(C)O)=NNN2c2ccc(F)cc2F)cc1
-6.8,CCCC[C@](C)(O)[C@H]1C(C)=NNN1CC(=O)c1cccc(F)c1
-6.1,CN1C2=CC=CCC2=CC=C1N1NN=C(CO)[C@@H]1C1(O)CCC1
-6.9,NNC(=O)c1ccc(N2NN=C(C3(O)CCCCC3)[C@@H]2[C@H](O)c2ccco2)cc1
-5.9,C[C@H](O)[C@H]1C(C2=CCCCC2)=NNN1c1cccc2ncccc12
-7.5,C[C@H]1C(CCCCO)=NNN1C1=NS(=O)(=O)c2ccccc21
-7.0,CC1=NNN(c2cccc(CO)c2)[C@@H]1[C@H]1CN[C@@H](C)C1
-7.0,Cc1ccc([C@H]2C(c3cccnc3)=NNN2Cc2nnnn2-c2cccc([N+](=O)[O-])c2)cc1
-9.2,O=[N+]([O-])c1cc(N2NN=C(c3ccccc3)[C@@H]2c2nnc(-c3ccccc3)o2)ccc1F
-6.1,OCC1=NNN(c2ccc(F)cc2F)[C@@H]1c1cncnc1
